"participant,version,used_geospatial_tutorial,used_geospatial_site_list,t_00_00,t_00_01,t_00_02,t_00_03,t_00_04,t_00_05,t_00_06,p_00_00,p_00_01,p_00_02,p_00_03,p_00_04,p_00_05,p_00_06,c_00_00,c_00_01,c_00_02,c_00_03,c_00_04,c_00_05,c_00_06,max_tabs_00,bookmark_uses_00,t_01_00,t_01_01,t_01_02,t_01_03,t_01_04,t_01_05,t_01_06,p_01_00,p_01_01,p_01_02,p_01_03,p_01_04,p_01_05,p_01_06,c_01_00,c_01_01,c_01_02,c_01_03,c_01_04,c_01_05,c_01_06,max_tabs_01,bookmark_uses_01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,N,Y,208508,100598,26475,83357,61052,88040,32628,C,C,C,C,C,C,C,9,9,9,9,9,9,9,5,1,44354,59750,37096,40836,51593,17212,7420,C,C,C,C,C,C,C,9,9,9,9,9,9,9,2,2
2,1,N,N,110239,110430,31242,211268,62699,45600,11046,C,C,C,C,C,C,C,9,9,9,9,9,9,9,2,0,34374,47691,106330,52445,51197,45277,8450,C,C,C,C,C,C,C,9,9,9,9,9,9,9,3,2
3,A,N,N,74351,151821,82044,151994,199548,41998,15826,C,C,C,C,C,C,C,9,9,9,9,9,9,9,3,1,37799,74074,37012,54611,42250,14532,19115,C,C,C,C,C,C,C,9,9,9,9,9,9,9,2,3
4,1,N,N,75285,123150,46315,128624,134138,88952,10995,C,C,C,C,C,C,C,9,9,9,9,9,9,9,1,5,31101,43328,44944,52187,46988,27317,26626,C,C,C,C,C,C,C,9,9,9,9,9,9,9,4,3
5,A,N,N,243934,32197,46369,177880,303671,50016,16096,G,C,C,C,C,C,C,9,9,9,9,9,9,9,6,1,101618,139264,44508,77330,67512,34750,11952,C,C,C,C,C,C,C,9,9,9,9,9,9,9,2,1
6,1,N,N,479814,79937,21789,78030,142025,61721,9725,C,C,C,C,C,C,C,9,9,9,9,9,9,9,2,0,47263,74486,41303,52771,43316,27683,9320,C,C,C,C,C,C,C,9,9,9,9,9,9,9,2,0
7,A,N,N,57970,123279,53118,105136,96965,39111,18604,C,C,C,C,C,C,C,9,9,9,9,9,9,9,4,5,63140,68489,28152,73150,40924,10938,7190,C,C,C,C,C,C,C,9,9,9,9,9,9,9,1,2
8,1,N,Y,322685,111545,53427,107000,88219,38312,10747,G,C,C,C,C,C,C,9,9,9,9,9,9,9,1,3,54690,47754,40393,62927,46516,32212,8678,C,C,C,C,C,C,C,9,9,9,9,9,9,9,3,1
